claim_id,entity_id,topic,claim_text_full,safe_copy_cn,range_min,range_max,unit,measurement_scope,evidence_class,confidence,claim_status,required_qualifier,forbidden_rephrasing,source_id,last_verified_at
CLM-001,NHL-SG,年代,古国时代第一阶段常用框架为距今约5800—5200年。,距今约5800—5200年｜阶段框架，不是单一年份,5800,5200,年BP,阶段框架,SYN,A2,current,约；框架,所有遗迹都建于5800年前,SRC-07,2026-07-14T00:00:00
CLM-002,NHL-SG,发现史,牛河梁遗址1981年系统发现，1983年开始正式发掘；第十六地点1979年已有局部发现。,1981系统发现｜1983正式发掘,,,,发现/发掘节点,OBS,A2,current,区分局部与整体,整个遗址1979年发现,SRC-04,2026-07-14T00:00:00
CLM-003,NHL-SG,法定保护,1988年公布为第三批全国重点文物保护单位。,1988｜第三批全国重点文物保护单位,1988,,年,法定状态,OBS,A1,current,,1988成为世界遗产,SRC-04,2026-07-14T00:00:00
CLM-004,NHL-SG,UNESCO,2013年作为红山文化遗址系列的一部分列入中国世界遗产预备名单Ref.5804。,UNESCO预备名单 Ref.5804｜尚非世界遗产,2013,,年,目录状态,OBS,A1,current,作为系列一部分,世界文化遗产牛河梁；申遗成功,SRC-11,2026-07-14T00:00:00
CLM-005,NHL-L01,台基数量,第一地点目前应写至少9座台基；女神庙位于9号台基。,第一地点｜至少9座台基,9,,座,当前确认数量下限,OBS,A1,current,至少,正好只有9座宫殿,SRC-02,2026-07-14T00:00:00
CLM-006,NHL-L01-P02,长度,2号台基南北64.61米。,2号台基｜南北64.61米,64.61,,m,近长方形台基南北向,OBS,A1,current,,约65米即唯一精确值,SRC-02,2026-07-14T00:00:00
CLM-007,NHL-L01-P02,宽度,2号台基东西约41.39米。,2号台基｜东西约41.39米,41.39,,m,近长方形台基东西向,OBS,A1,current,约,41.39米无误差,SRC-02,2026-07-14T00:00:00
CLM-008,NHL-L01,台基面积,公开报道有近4万、约6万、含附属约10万平方米等不同范围口径。,台基群面积｜按测量范围分口径展示,40000,100000,m²,可见/本体/含附属,OBS,B1,current,口径不同,选择最大数字当唯一面积,SRC-05,2026-07-14T00:00:00
CLM-009,NHL-L01-GT,女神庙尺寸,女神庙主体约18.4米；公开资料另有总长约22米或25米口径。,女神庙长度｜18.4米主体；约22/25米其他口径,18.4,25,m,主体/总体/旧资料,OBS,B1,current,分别注明口径,把18.4+6算成唯一长度,SRC-07,2026-07-14T00:00:00
CLM-010,NHL-A-GH,泥塑头像,泥塑人头像现高22.4厘米、面宽16.5厘米。,泥塑人头像｜高22.4cm，面宽16.5cm,22.4,16.5,cm,残存尺寸,OBS,B1,current,现高；顶部残缺,完整头像就是此尺寸,SRC-07,2026-07-14T00:00:00
CLM-011,NHL-A-GH,材料工艺,头像泥中掺植物纤维，未经烧制，表面曾施红，眼部嵌玉片。,植物纤维入泥｜未烧制｜施红｜嵌玉眼,,,,材料与工艺,OBS,B1,current,曾；残存,彩陶烧制女神像,SRC-07,2026-07-14T00:00:00
CLM-012,NHL-L02-Z03,三环尺寸,三圈立石结构外、中、内圈直径约22米、15.6米、11米。,三环直径｜22m / 15.6m / 11m,22,11,m,外/中/内圈,OBS,A2,current,约,北京天坛鼻祖；精确根号2设计,SRC-09,2026-07-14T00:00:00
CLM-013,NHL-CEM,墓葬数量,上层积石冢阶段墓葬共66座。,上层积石冢阶段｜66座墓葬,66,,座,第二、三、五、十六地点样本,SYN,B2,current,样本范围,牛河梁所有时期只有66墓,SRC-10,2026-07-14T00:00:00
CLM-014,NHL-CEM,有玉墓,专题统计66座中37座有玉，共145件玉器。,37座有玉｜共145件（限定样本）,37,145,座/件,66墓专题样本,SYN,B2,current,专题统计,全遗址共145件玉器,SRC-10,2026-07-14T00:00:00
