asset_id,tier,category,filename,title,creator,institution,license_or_rights,use_status,production_rule,landing_page,direct_url,license_url,attribution,dimensions,sha256,downloaded_at,recommended_screen,fact_boundary,local_relative_path,web_ready_relative_path
A001,open_license,artifacts_sites,A001_jade_dragon_pei_npm.jpg,红山文化玉龙形佩（台北故宫博物院陈列）,Gary Todd,National Palace Museum (Taipei),CC0 1.0,可用于参赛；法律上无需署名，建议保留来源,allow_with_manifest_conditions,https://commons.wikimedia.org/wiki/File:Hongshan_Culture_-_Jade_Dragon_Pei_Pendant.jpg,https://upload.wikimedia.org/wikipedia/commons/7/75/Hongshan_Culture_-_Jade_Dragon_Pei_Pendant.jpg,https://creativecommons.org/publicdomain/zero/1.0/,"Photo: Gary Todd / Wikimedia Commons, CC0",5184×3456,91e9b47ea5542b0ded7d385198e9765408c98184c0a0589236f4ad735ec46dee,2026-07-14T08:20:01+00:00,首页主视觉；玉器图鉴；器形比较,馆藏陈列摄影；文件页仅确认红山文化属性，不能标注为牛河梁出土。,01_open_license/artifacts_sites/A001_jade_dragon_pei_npm.jpg,05_web_ready/artifacts_sites/A001_jade_dragon_pei_npm.webp
A002,open_license,artifacts_sites,A002_jade_pig_dragon_npm.jpg,红山文化玉猪龙（台北故宫博物院陈列）,Gary Todd,National Palace Museum (Taipei),CC0 1.0,可用于参赛；法律上无需署名，建议保留来源,allow_with_manifest_conditions,https://commons.wikimedia.org/wiki/File:Hongshan_Culture_-_Jade_Pig-Dragon_01.jpg,https://upload.wikimedia.org/wikipedia/commons/5/54/Hongshan_Culture_-_Jade_Pig-Dragon_01.jpg,https://creativecommons.org/publicdomain/zero/1.0/,"Photo: Gary Todd / Wikimedia Commons, CC0",3456×5184,30bb3f4be4cfad842d2c46eed780d4260cc609700c5035422a49ac4b01c3bdf7,2026-07-14T08:20:06+00:00,玉器图鉴；类型学交互；局部放大,馆藏陈列摄影；不能据此推定具体出土地为牛河梁。,01_open_license/artifacts_sites/A002_jade_pig_dragon_npm.jpg,05_web_ready/artifacts_sites/A002_jade_pig_dragon_npm.webp
A003,open_license,artifacts_sites,A003_jade_hooked_cloud_npm.jpg,玉勾云形佩（台北故宫博物院藏）,Gary Todd,National Palace Museum (Taipei),CC0 1.0,可用于参赛；法律上无需署名，建议保留来源,allow_with_manifest_conditions,https://commons.wikimedia.org/wiki/File:Hongshan_Culture_-_Jade_Pei_Cloud_Ornament.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ed/Hongshan_Culture_-_Jade_Pei_Cloud_Ornament.jpg,https://creativecommons.org/publicdomain/zero/1.0/,"Photo: Gary Todd / Wikimedia Commons, CC0",5184×3456,07988c6560995863c813f2108e90b5f5669205cb2f8935db1f88818700c2d8f2,2026-07-14T08:20:09+00:00,核心器物卡；工艺分析；轮廓交互,文件页载尺寸19.1×14.2×0.5厘米、约公元前3500—3000年；勿改写为牛河梁出土。,01_open_license/artifacts_sites/A003_jade_hooked_cloud_npm.jpg,05_web_ready/artifacts_sites/A003_jade_hooked_cloud_npm.webp
A004,open_license,artifacts_sites,A004_jade_bird_npm.jpg,红山文化玉鸟形佩（台北故宫博物院陈列）,Gary Todd,National Palace Museum (Taipei),CC0 1.0,可用于参赛；法律上无需署名，建议保留来源,allow_with_manifest_conditions,https://commons.wikimedia.org/wiki/File:Hongshan_Culture_-_Jade_Bird_Pei_Pendant_01.jpg,https://upload.wikimedia.org/wikipedia/commons/c/cd/Hongshan_Culture_-_Jade_Bird_Pei_Pendant_01.jpg,https://creativecommons.org/publicdomain/zero/1.0/,"Photo: Gary Todd / Wikimedia Commons, CC0",5184×3456,18e3fff89da9db020abe42ddfbb44f32ddbd39e71643eb723613b01224faa562,2026-07-14T08:20:12+00:00,玉器图鉴；动物母题筛选,馆藏陈列摄影；红山文化属性来自文件页及馆藏陈列，具体出土地未说明。,01_open_license/artifacts_sites/A004_jade_bird_npm.jpg,05_web_ready/artifacts_sites/A004_jade_bird_npm.webp
A005,open_license,artifacts_sites,A005_jade_hoof_npm.jpg,红山文化箍形／马蹄形玉器（台北故宫博物院陈列）,Gary Todd,National Palace Museum (Taipei),CC0 1.0,可用于参赛；法律上无需署名，建议保留来源,allow_with_manifest_conditions,"https://commons.wikimedia.org/wiki/File:Jade_Hoof-Shaped_Article,_Hongshan_Culture.jpg",https://upload.wikimedia.org/wikipedia/commons/7/7b/Jade_Hoof-Shaped_Article%2C_Hongshan_Culture.jpg,https://creativecommons.org/publicdomain/zero/1.0/,"Photo: Gary Todd / Wikimedia Commons, CC0",5184×3456,0152b2ccd57cd7770d64b234e8296352fe8db976c00681ad89d235d91916658d,2026-07-14T08:20:15+00:00,玉器图鉴；佩戴方式假说对比,英文文件名为 Hoof-Shaped Article；中文界面宜同时列‘箍形器／马蹄形器’，避免单一功能断言。,01_open_license/artifacts_sites/A005_jade_hoof_npm.jpg,05_web_ready/artifacts_sites/A005_jade_hoof_npm.webp
A006,open_license,artifacts_sites,A006_jade_figurine_npm.jpg,红山文化玉人形器（台北故宫博物院陈列）,Gary Todd,National Palace Museum (Taipei),CC0 1.0,可用于参赛；法律上无需署名，建议保留来源,allow_with_manifest_conditions,https://commons.wikimedia.org/wiki/File:Hongshan_Culture_-_Jade_Figurine.jpg,https://upload.wikimedia.org/wikipedia/commons/5/53/Hongshan_Culture_-_Jade_Figurine.jpg,https://creativecommons.org/publicdomain/zero/1.0/,"Photo: Gary Todd / Wikimedia Commons, CC0",3456×5184,93920403aced51a8ca260f52b6bc35e69d21ff6ea59eec759c46e222dd2d749c,2026-07-14T08:20:18+00:00,人物表现章节；玉器图鉴,馆藏陈列摄影；不可将其替代或误称为牛河梁女神庙泥塑头像。,01_open_license/artifacts_sites/A006_jade_figurine_npm.jpg,05_web_ready/artifacts_sites/A006_jade_figurine_npm.webp
A007,open_license,artifacts_sites,A007_jade_yue_axe_shanghai_museum.jpg,红山文化玉钺／玉斧（上海博物馆陈列）,"Gary Lee Todd, Ph.D.",Shanghai Museum,CC0 1.0,可用于参赛；法律上无需署名，建议保留来源,allow_with_manifest_conditions,https://commons.wikimedia.org/wiki/File:Hongshan_Culture_Jade_Yue_Axe.jpg,https://upload.wikimedia.org/wikipedia/commons/2/26/Hongshan_Culture_Jade_Yue_Axe.jpg,https://creativecommons.org/publicdomain/zero/1.0/,"Photo: Gary Lee Todd / Wikimedia Commons, CC0",4752×3168,2238a8b34212f64a47f68d93a426f8c53f2b2c188bd562794b6b92069adede38,2026-07-14T08:20:21+00:00,权力与礼仪章节；器物功能对比,文件页描述为上海博物馆玉器陈列；用途解释应写为学术判断而非既定事实。,01_open_license/artifacts_sites/A007_jade_yue_axe_shanghai_museum.jpg,05_web_ready/artifacts_sites/A007_jade_yue_axe_shanghai_museum.webp
A008,open_license,artifacts_sites,A008_hongshan_jade_burial_object_liaoning_museum.jpg,红山文化墓葬玉器展陈（辽宁省博物馆）,"Gary Lee Todd, Ph.D.",Liaoning Provincial Museum,CC0 1.0,可用于参赛；法律上无需署名，建议保留来源,allow_with_manifest_conditions,https://commons.wikimedia.org/wiki/File:Hongshan_Jade_Burial_Objects_04.jpg,https://live.staticflickr.com/5119/14156522825_185c3434d0_o.jpg,https://creativecommons.org/publicdomain/zero/1.0/,"Photo: Gary Lee Todd / Wikimedia Commons, CC0",5184×3456,908aa2af4d490fdd4020996d42ea342692a9495c086436b90a5ab9c98fbf807b,2026-07-14T08:33:45+00:00,墓葬证据章节；玉器图鉴；轮廓热点,该图属于辽宁省博物馆‘Hongshan Jade Burial Objects’系列，但文件页未给出单件出土地与墓号；可称红山文化墓葬玉器展陈，不可写成某座牛河梁墓葬的确定出土物。原图由 Commons 所列 Flickr 来源下载。,01_open_license/artifacts_sites/A008_hongshan_jade_burial_object_liaoning_museum.jpg,05_web_ready/artifacts_sites/A008_hongshan_jade_burial_object_liaoning_museum.webp
A009,open_license,artifacts_sites,A009_ceremonial_headdress_harvard.jpg,红山文化礼仪性玉器（可能为头饰）,Daderot,Arthur M. Sackler Museum (Harvard Art Museums),Public Domain Mark 1.0,可用于参赛；无需署名，建议保留来源,allow_with_manifest_conditions,"https://commons.wikimedia.org/wiki/File:Ceremonial_Object_(perhaps_a_headdress),_China,_Liaoning_province_or_Inner_Mongolia,_Neolithic_period,_Hongshan_culture,_3700-2929_BC,_nephrite_-_Arthur_M._Sackler_Museum,_Harvard_University_-_DSC00809.jpg",https://upload.wikimedia.org/wikipedia/commons/2/24/Ceremonial_Object_%28perhaps_a_headdress%29%2C_China%2C_Liaoning_province_or_Inner_Mongolia%2C_Neolithic_period%2C_Hongshan_culture%2C_3700-2929_BC%2C_nephrite_-_Arthur_M._Sackler_Museum%2C_Harvard_University_-_DSC00809.jpg,https://creativecommons.org/publicdomain/mark/1.0/,"Photo: Daderot / Wikimedia Commons, Public Domain",3488×4659,cf968006d1dcf2d6ebf7abf11d04b29005dadf1e2bd1ae63a838da221f8a31e7,2026-07-14T08:20:29+00:00,器物争议标签；用途假说交互,馆藏名称明确带 perhaps a headdress；中文必须保留‘可能’。地点仅到辽宁或内蒙古，非牛河梁定点出土。,01_open_license/artifacts_sites/A009_ceremonial_headdress_harvard.jpg,05_web_ready/artifacts_sites/A009_ceremonial_headdress_harvard.webp
A010,open_license,artifacts_sites,A010_jade_bird_british_museum.jpg,约公元前3500年红山文化玉鸟（大英博物馆陈列）,Vassil,British Museum,CC0 1.0,可用于参赛；法律上无需署名，建议保留来源,allow_with_manifest_conditions,https://commons.wikimedia.org/wiki/File:British_Museum_Chinese_jade_Neolithic_period_Hongshan_culture_Bird_11022019_1411.jpg,https://upload.wikimedia.org/wikipedia/commons/c/cd/British_Museum_Chinese_jade_Neolithic_period_Hongshan_culture_Bird_11022019_1411.jpg,https://creativecommons.org/publicdomain/zero/1.0/,"Photo: Vassil / Wikimedia Commons, CC0",1618×1300,c802c38600fc2664a39874288edbe766a8c018016e25da40d30a94c6115574e4,2026-07-14T08:20:32+00:00,国际馆藏比较；玉鸟类型对照,文件页说明为红山文化、约公元前3500年、大英博物馆33b展厅；具体出土地未说明。,01_open_license/artifacts_sites/A010_jade_bird_british_museum.jpg,05_web_ready/artifacts_sites/A010_jade_bird_british_museum.webp
